,Name,Classification,Type,Country,Adress,Latitude,Longitude,location
0,Else,Designing Studios,Design Studio,GB,"Metropolitan Wharf, 70 Wapping a Wall",51.52479378344956,-0.08332123004658643,"{'type': 'Point', 'coordinates': (51.52479378344956, -0.08332123004658643)}"
1,SCP,Designing Studios,Furniture / Home Store,GB,135-139 Curtain Rd.,51.526324409210694,-0.08040592392642557,"{'type': 'Point', 'coordinates': (51.526324409210694, -0.08040592392642557)}"
2,Idean UK,Designing Studios,Design Studio,GB,"Victoria House, 1 Leonard Circus",51.524765823244685,-0.08378148078918457,"{'type': 'Point', 'coordinates': (51.524765823244685, -0.08378148078918457)}"
3,Alexander McQueen,Designing Studios,Design Studio,GB,76-78 Clerkenwell Rd.,51.52261379469525,-0.1017354950565104,"{'type': 'Point', 'coordinates': (51.52261379469525, -0.1017354950565104)}"
4,Unto This Last,Designing Studios,Design Studio,GB,203 Brick Lane,51.52551621863963,-0.07196621441095544,"{'type': 'Point', 'coordinates': (51.52551621863963, -0.07196621441095544)}"
5,Craft Central,Designing Studios,Design Studio,GB,33-35 St John's Sq (at Clerkenwell Rd.),51.52250453624022,-0.10294161117092945,"{'type': 'Point', 'coordinates': (51.52250453624022, -0.10294161117092945)}"
6,Thorgate London,Designing Studios,Design Studio,GB,4-5 Bonhill Street,51.52258145499965,-0.08558705024532684,"{'type': 'Point', 'coordinates': (51.52258145499965, -0.08558705024532684)}"
7,Barbican Shop,Designing Studios,Design Studio,GB,Barbican Centre,51.51901947250534,-0.09179625255608946,"{'type': 'Point', 'coordinates': (51.51901947250534, -0.09179625255608946)}"
8,Public London,Designing Studios,Design Studio,GB,65 Leonard Street,51.524743,-0.083452,"{'type': 'Point', 'coordinates': (51.524743, -0.083452)}"
9,Alchemist Logo Design,Designing Studios,Design Studio,GB,86-90 Paul Street,51.5254011607808,-0.0837381945313185,"{'type': 'Point', 'coordinates': (51.5254011607808, -0.0837381945313185)}"
10,Chroma Studios,Designing Studios,Design Studio,GB,86-90 Paul Street,51.52571870200306,-0.08374124765396118,"{'type': 'Point', 'coordinates': (51.52571870200306, -0.08374124765396118)}"
11,Ca4la,Designing Studios,Design Studio,GB,23 Pitfield Street,51.526919,-0.083702,"{'type': 'Point', 'coordinates': (51.526919, -0.083702)}"
12,the WOW wall,Designing Studios,Design Studio,GB,152 City Road,51.52723559044543,-0.0887918472290039,"{'type': 'Point', 'coordinates': (51.52723559044543, -0.0887918472290039)}"
13,Make Us Proud,Designing Studios,Design Studio,GB,124 Aldersgate Road,51.521268,-0.09782,"{'type': 'Point', 'coordinates': (51.521268, -0.09782)}"
14,PD3,Designing Studios,Design Studio,GB,7-10 Bateman's row (Curtain Road),51.5253484393443,-0.07917192494767568,"{'type': 'Point', 'coordinates': (51.5253484393443, -0.07917192494767568)}"
15,Funky Howler Digital Design & Marketing Agency,Designing Studios,Design Studio,GB,"Kemp House, 152-160 City Road",51.527389112092116,-0.08903861045837402,"{'type': 'Point', 'coordinates': (51.527389112092116, -0.08903861045837402)}"
16,gkp BY DESIGN,Designing Studios,Design Studio,GB,160 City Road,51.52742969,-0.08931665,"{'type': 'Point', 'coordinates': (51.52742969, -0.08931665)}"
17,Montblanc Boutique,Designing Studios,Design Studio,GB,10-11 Royal Exchange,51.51363363319052,-0.08656185199040975,"{'type': 'Point', 'coordinates': (51.51363363319052, -0.08656185199040975)}"
18,Mint Presentation Design,Designing Studios,Design Studio,GB,152-160 City Road,51.5275403,-0.090037499999994,"{'type': 'Point', 'coordinates': (51.5275403, -0.090037499999994)}"
19,Don't Panic,Designing Studios,Design Studio,GB,8 Elder St. (Commercial St.),51.52178189877856,-0.0767219066619873,"{'type': 'Point', 'coordinates': (51.52178189877856, -0.0767219066619873)}"
20,Simon Harrison Ltd,Designing Studios,Design Studio,GB,2 Cathedral Street,51.518463972439385,-0.09844779968261719,"{'type': 'Point', 'coordinates': (51.518463972439385, -0.09844779968261719)}"
21,JB Webb Design Ltd.,Designing Studios,Design Studio,GB,160 City Road,51.5273564,-0.08902799999998479,"{'type': 'Point', 'coordinates': (51.5273564, -0.08902799999998479)}"
22,The Color Company - Design Studio,Designing Studios,Design Studio,GB,Suite 1A Lindsey Street,51.519465384126605,-0.09978890419006348,"{'type': 'Point', 'coordinates': (51.519465384126605, -0.09978890419006348)}"
23,Chambers Judd,Designing Studios,Design Studio,GB,372 Old Street,51.52710209294058,-0.07932901382446289,"{'type': 'Point', 'coordinates': (51.52710209294058, -0.07932901382446289)}"
24,By Creative Ltd,Designing Studios,Design Studio,GB,"147, Curtain Rd",51.5266135,-0.0805593,"{'type': 'Point', 'coordinates': (51.5266135, -0.0805593)}"
25,InterfaceFLOR - London Showroom,Designing Studios,Design Studio,GB,1 Northburgh Street,51.52406487590782,-0.09936784188402056,"{'type': 'Point', 'coordinates': (51.52406487590782, -0.09936784188402056)}"
26,dxw,Designing Studios,Design Studio,GB,8-9 Hoxton Square,51.52775971141574,-0.08178479964932037,"{'type': 'Point', 'coordinates': (51.52775971141574, -0.08178479964932037)}"
27,Viska Acoustics,Designing Studios,Design Studio,GB,15 Northburgh Street,51.52389303,-0.10040179,"{'type': 'Point', 'coordinates': (51.52389303, -0.10040179)}"
28,Fuerte International,Designing Studios,Design Studio,GB,6-8 Bonhill Street,51.529646321986945,-0.08631623584446056,"{'type': 'Point', 'coordinates': (51.529646321986945, -0.08631623584446056)}"
29,Bene PLC,Designing Studios,Design Studio,GB,47-53 St. John Street,51.520834,-0.101602,"{'type': 'Point', 'coordinates': (51.520834, -0.101602)}"
30,Special Projects,Designing Studios,Design Studio,GB,35 Fournier Street,51.519240068416735,-0.0724571943283081,"{'type': 'Point', 'coordinates': (51.519240068416735, -0.0724571943283081)}"
31,Vitra,Designing Studios,Design Studio,GB,30 Clerkenwell Road London London EC1M 5PG,51.523133786104076,-0.09960102538261971,"{'type': 'Point', 'coordinates': (51.523133786104076, -0.09960102538261971)}"
32,Decisive Media / TelecomTV,Designing Studios,Office,GB,3 London Wall Buildings,51.516822200859664,-0.08530523690319304,"{'type': 'Point', 'coordinates': (51.516822200859664, -0.08530523690319304)}"
33,Dusted,Designing Studios,Design Studio,GB,65 Leadenhall Street,51.51299253782617,-0.07852703332901001,"{'type': 'Point', 'coordinates': (51.51299253782617, -0.07852703332901001)}"
34,Makers Cafe,Designing Studios,Design Studio,GB,24 St Francis Rd,51.52736177814328,-0.0780415108593295,"{'type': 'Point', 'coordinates': (51.52736177814328, -0.0780415108593295)}"
35,Tobias & Tobias,Designing Studios,Design Studio,GB,"Laser House, 132-140 Goswell Road",51.52494236237844,-0.09931624927037497,"{'type': 'Point', 'coordinates': (51.52494236237844, -0.09931624927037497)}"
36,Olo Creative,Designing Studios,Design Studio,GB,6 (17 New North Road),51.53040604114602,-0.08469343185424805,"{'type': 'Point', 'coordinates': (51.53040604114602, -0.08469343185424805)}"
37,Apple&Pear,Designing Studios,Design Studio,GB,"Craft Central, studio 26, 33-35 St. John's Square",51.52246285331728,-0.1027643873269736,"{'type': 'Point', 'coordinates': (51.52246285331728, -0.1027643873269736)}"
38,Nettl of Clerkenwell,Designing Studios,Design Studio,GB,72 Clerkenwell Rd,51.52273388,-0.10147188,"{'type': 'Point', 'coordinates': (51.52273388, -0.10147188)}"
39,Fueled London,Designing Studios,Design Studio,GB,68 Hanbury St,51.52022629157461,-0.0704240088474373,"{'type': 'Point', 'coordinates': (51.52022629157461, -0.0704240088474373)}"
40,Skive,Designing Studios,Design Studio,GB,40 Compton Street,51.52506909552089,-0.10046244106174416,"{'type': 'Point', 'coordinates': (51.52506909552089, -0.10046244106174416)}"
41,Agitprop,Designing Studios,Design Studio,GB,"19 Links Yard, (29a Spelman Street)",51.51935281820866,-0.07004983921777648,"{'type': 'Point', 'coordinates': (51.51935281820866, -0.07004983921777648)}"
42,ABC Imaging,Designing Studios,Design Studio,GB,33 Britton St (Benjamin St),51.52080944397357,-0.10342517050836063,"{'type': 'Point', 'coordinates': (51.52080944397357, -0.10342517050836063)}"
43,22design ltd,Designing Studios,Design Studio,GB,1 Clerkenwell Green,51.523294,-0.10435,"{'type': 'Point', 'coordinates': (51.523294, -0.10435)}"
44,Pan Studio,Designing Studios,Design Studio,GB,CM106 (37 Cremer St),51.53046391041395,-0.07659203793364765,"{'type': 'Point', 'coordinates': (51.53046391041395, -0.07659203793364765)}"
45,Lastminute print,Designing Studios,Design Studio,GB,29-31 Greatorex Street,51.5183709,-0.06756730000006428,"{'type': 'Point', 'coordinates': (51.5183709, -0.06756730000006428)}"
46,Religion Clothing,Designing Studios,Office,GB,"5 Standard Place, Rivington Street",51.526528559768906,-0.07804595801045881,"{'type': 'Point', 'coordinates': (51.526528559768906, -0.07804595801045881)}"
