,Name,Classification,Type,Country,Adress,Latitude,Longitude,location
0,Hatching Dragons,School,Nursery School,GB,1 Viscount Street,51.521599411945914,-0.09535610000000361,"{'type': 'Point', 'coordinates': (51.521599411945914, -0.09535610000000361)}"
1,Bright Horizons City Child Nursery and Preschool,School,Nursery School,GB,1 Bridgewater Square  Barbican,51.5214063,-0.0956472,"{'type': 'Point', 'coordinates': (51.5214063, -0.0956472)}"
2,Hatching Dragons,School,Nursery School,GB,"Ferroners House, Shaftesbury Place, Aldersgate St",51.517948,-0.096538,"{'type': 'Point', 'coordinates': (51.517948, -0.096538)}"
3,Bright Horizons Spitalfields Day Nursery and Preschool,School,Nursery School,GB,21 Lamb Street,51.520313793033694,-0.0749744024467418,"{'type': 'Point', 'coordinates': (51.520313793033694, -0.0749744024467418)}"
4,Hopes and Dreams Montessori Nursery School,School,Nursery School,GB,339-341 City Road,51.5310498745605,-0.10207925799761322,"{'type': 'Point', 'coordinates': (51.5310498745605, -0.10207925799761322)}"
5,The Soulful Nutritionist,School,Nursery School,GB,9 Coldbath Square,51.5238179,-0.1103146000000379,"{'type': 'Point', 'coordinates': (51.5238179, -0.1103146000000379)}"
6,Rosemary Works Big Play School,School,Nursery School,GB,Branch Place,51.53692646357954,-0.08327722549438477,"{'type': 'Point', 'coordinates': (51.53692646357954, -0.08327722549438477)}"
7,Montessori by Busy Bees,School,Nursery School,GB,"St George in the East Crypt West, 14 Cannon Street Road",51.5100497,-0.0598132,"{'type': 'Point', 'coordinates': (51.5100497, -0.0598132)}"
8,Bright Horizons Tabard Square Nursery and Preschool,School,Nursery School,GB,"10-12 Empire Square, Tabard Street",51.5004061,-0.0909726,"{'type': 'Point', 'coordinates': (51.5004061, -0.0909726)}"
9,Montessori by Busy Bees,School,Nursery School,GB,4 Wapping Lane,51.5089513,-0.0583978,"{'type': 'Point', 'coordinates': (51.5089513, -0.0583978)}"
10,Puddle Jumpers Nursery,School,Nursery School,GB,33 Three Colt Street,51.51912339060358,-0.12138892338157348,"{'type': 'Point', 'coordinates': (51.51912339060358, -0.12138892338157348)}"
11,Fennies Nursery Woking,School,Nursery School,GB,17 Elm Grove Wimbledon,51.5091698216777,-0.12743711471557617,"{'type': 'Point', 'coordinates': (51.5091698216777, -0.12743711471557617)}"
12,Bright Horizons Floral Place Nursery and Preschool,School,Nursery School,GB,2 Floral Place,51.54875033585555,-0.08851531779100696,"{'type': 'Point', 'coordinates': (51.54875033585555, -0.08851531779100696)}"
13,Bright Horizons Mount Carmel Day Nursery and Preschool,School,Nursery School,GB,18 Eden Grove,51.551393891126885,-0.11278636995791658,"{'type': 'Point', 'coordinates': (51.551393891126885, -0.11278636995791658)}"
14,Monkey Puzzle Day Nursery,School,Nursery School,GB,"Loxfords House, Highbury Park, N5",51.556388898273795,-0.09860090114315777,"{'type': 'Point', 'coordinates': (51.556388898273795, -0.09860090114315777)}"
15,Sir John Cass Primary School,School,Elementary School,GB,"St James' Passage, Duke's Place",51.513635317117675,-0.07691312571667494,"{'type': 'Point', 'coordinates': (51.513635317117675, -0.07691312571667494)}"
16,New North Primary Academy,School,Elementary School,GB,32 Popham Road,51.53877161299173,-0.095172,"{'type': 'Point', 'coordinates': (51.53877161299173, -0.095172)}"
17,UK Admission,School,Paper / Office Supplies Store,GB,216 Whitechapel Rd,51.5193674,-0.05724989999999999,"{'type': 'Point', 'coordinates': (51.5193674, -0.05724989999999999)}"
18,London Fields School,School,Elementary School,GB,Westfield St,51.53720674739243,-0.0599527359008789,"{'type': 'Point', 'coordinates': (51.53720674739243, -0.0599527359008789)}"
19,William Tyndale School,School,Elementary School,GB,Upper Street,51.54172638675373,-0.10149301108734607,"{'type': 'Point', 'coordinates': (51.54172638675373, -0.10149301108734607)}"
