,Name,Classification,Type,Country,Adress,Latitude,Longitude,location
0,Bunhill Fields,Parks,Cemetery,GB,City Rd (Bunhill Row),51.52360843373123,-0.08786072225540241,"{'type': 'Point', 'coordinates': (51.52360843373123, -0.08786072225540241)}"
1,Postman's Park,Parks,Park,GB,Edward St,51.51685979391399,-0.09764256711433734,"{'type': 'Point', 'coordinates': (51.51685979391399, -0.09764256711433734)}"
2,Fortune Street Park,Parks,Park,GB,Fortune St,51.52216790914869,-0.09370496335942312,"{'type': 'Point', 'coordinates': (51.52216790914869, -0.09370496335942312)}"
3,Hoxton Square,Parks,Park,GB,Hoxton Sq,51.52768046821761,-0.0812022683385294,"{'type': 'Point', 'coordinates': (51.52768046821761, -0.0812022683385294)}"
4,St. Luke's Church Gardens,Parks,Park,GB,161 Old Street,51.52486379088456,-0.09382578146663756,"{'type': 'Point', 'coordinates': (51.52486379088456, -0.09382578146663756)}"
5,Arnold Circus,Parks,Park,GB,Arnold Circus,51.5261167664394,-0.07512362463802999,"{'type': 'Point', 'coordinates': (51.5261167664394, -0.07512362463802999)}"
6,St Bartholomew the Great (St Bartholomew-the-Great),Parks,Church,GB,6 Kinghorn St (at Cloth Fair),51.51863075215108,-0.09989039472471607,"{'type': 'Point', 'coordinates': (51.51863075215108, -0.09989039472471607)}"
7,Finsbury Circus,Parks,Park,GB,Finsbury Circus,51.51788602097433,-0.08727054862827953,"{'type': 'Point', 'coordinates': (51.51788602097433, -0.08727054862827953)}"
8,St Paul's Churchyard,Parks,Park,GB,St. Paul's Churchyard,51.513449906831404,-0.09717106819152832,"{'type': 'Point', 'coordinates': (51.513449906831404, -0.09717106819152832)}"
9,King Square Gardens,Parks,Park,GB,United Kingdom,51.5274393908725,-0.09855437867987396,"{'type': 'Point', 'coordinates': (51.5274393908725, -0.09855437867987396)}"
10,Shoreditch Park,Parks,Park,GB,New North Rd (Poole St),51.534550655275076,-0.08648514747619629,"{'type': 'Point', 'coordinates': (51.534550655275076, -0.08648514747619629)}"
11,Finsbury Square,Parks,Park,GB,Finsbury Sq (Finsbury Pavement),51.52069375239234,-0.08651196956634521,"{'type': 'Point', 'coordinates': (51.52069375239234, -0.08651196956634521)}"
12,Guildhall Yard,Parks,Plaza,GB,London,51.515426082727934,-0.0920614571261829,"{'type': 'Point', 'coordinates': (51.515426082727934, -0.0920614571261829)}"
13,Mark Street Gardens,Parks,Garden,GB,Mark St,51.524170914520994,-0.08334260814018832,"{'type': 'Point', 'coordinates': (51.524170914520994, -0.08334260814018832)}"
14,Smithfield Rotunda Garden,Parks,Park,GB,W Smithfield,51.518490677036795,-0.10106563568115234,"{'type': 'Point', 'coordinates': (51.518490677036795, -0.10106563568115234)}"
15,Brick Lane Park,Parks,Park,GB,United Kingdom,51.52221213934394,-0.07051674876630414,"{'type': 'Point', 'coordinates': (51.52221213934394, -0.07051674876630414)}"
16,Aske Gardens,Parks,Garden,GB,Buttesland St (Pitfield St),51.52817314391586,-0.08384386168761233,"{'type': 'Point', 'coordinates': (51.52817314391586, -0.08384386168761233)}"
17,Quaker Garden,Parks,Park,GB,Banner St,51.52368824184714,-0.09089256842917139,"{'type': 'Point', 'coordinates': (51.52368824184714, -0.09089256842917139)}"
18,St John's Gardens,Parks,Park,GB,Benjamin St,51.520907378273876,-0.10410189628601074,"{'type': 'Point', 'coordinates': (51.520907378273876, -0.10410189628601074)}"
19,Shepherdess Walk Park,Parks,Park,GB,Shepherdess Walk,51.53218807124178,-0.09372711181640625,"{'type': 'Point', 'coordinates': (51.53218807124178, -0.09372711181640625)}"
20,Allen Gardens,Parks,Park,GB,Buxton St (Code St),51.52221221813409,-0.07015420382994955,"{'type': 'Point', 'coordinates': (51.52221221813409, -0.07015420382994955)}"
21,Ravenscroft Park,Parks,Park,GB,Columbia Rd.,51.52908575716998,-0.0713184951677868,"{'type': 'Point', 'coordinates': (51.52908575716998, -0.0713184951677868)}"
