,Name,Classification,Type,Country,Adress,Latitude,Longitude,location
0,Moorgate London Underground Station,Travelling Stations,Metro Station,GB,Moorfields,51.51843562557591,-0.08828689751137384,"{'type': 'Point', 'coordinates': (51.51843562557591, -0.08828689751137384)}"
1,Liverpool Street London Underground Station,Travelling Stations,Metro Station,GB,Liverpool St (at Bishopsgate),51.51795887045512,-0.08220939641322696,"{'type': 'Point', 'coordinates': (51.51795887045512, -0.08220939641322696)}"
2,Old Street London Underground Station,Travelling Stations,Metro Station,GB,Old St (City Rd),51.52570817449869,-0.08751974753624095,"{'type': 'Point', 'coordinates': (51.52570817449869, -0.08751974753624095)}"
3,Barbican London Underground Station,Travelling Stations,Metro Station,GB,Aldersgate St,51.520136996818444,-0.09854558900050464,"{'type': 'Point', 'coordinates': (51.520136996818444, -0.09854558900050464)}"
4,Bank London Underground and DLR Station,Travelling Stations,Metro Station,GB,Princes St (at Queen Victoria St),51.51337646102328,-0.08893132209777832,"{'type': 'Point', 'coordinates': (51.51337646102328, -0.08893132209777832)}"
5,St. Paul's London Underground Station,Travelling Stations,Metro Station,GB,1 Cheapside (at Newgate St),51.51502318754615,-0.09736137848620856,"{'type': 'Point', 'coordinates': (51.51502318754615, -0.09736137848620856)}"
6,Mansion House London Underground Station,Travelling Stations,Metro Station,GB,38 Cannon St,51.51238465396617,-0.09390632743939784,"{'type': 'Point', 'coordinates': (51.51238465396617, -0.09390632743939784)}"
7,Cannon Street London Underground Station,Travelling Stations,Metro Station,GB,Cannon St.,51.51155306833706,-0.09074129237698478,"{'type': 'Point', 'coordinates': (51.51155306833706, -0.09074129237698478)}"
8,Aldgate London Underground Station,Travelling Stations,Metro Station,GB,Aldgate High St,51.51440357580745,-0.07573290404882957,"{'type': 'Point', 'coordinates': (51.51440357580745, -0.07573290404882957)}"
9,Monument London Underground Station,Travelling Stations,Metro Station,GB,King William St,51.51046405963689,-0.08609530718517062,"{'type': 'Point', 'coordinates': (51.51046405963689, -0.08609530718517062)}"
10,Aldgate East London Underground Station,Travelling Stations,Metro Station,GB,Whitechapel High St,51.51532774481223,-0.0713325843159609,"{'type': 'Point', 'coordinates': (51.51532774481223, -0.0713325843159609)}"
