,Name,Classification,Type,Country,Adress,Latitude,Longitude,location
0,uberlife HQ,Technological Startups,Tech Startup,GB,Islington,51.52219615381904,-0.08657200724089305,"{'type': 'Point', 'coordinates': (51.52219615381904, -0.08657200724089305)}"
1,citysocializer,Technological Startups,Tech Startup,GB,United Kingdom,51.52211043333333,-0.08690253333333332,"{'type': 'Point', 'coordinates': (51.52211043333333, -0.08690253333333332)}"
2,OpenTable,Technological Startups,Tech Startup,GB,"Alphabeta Building, 14-18 Finsbury Square",51.52146442843007,-0.08613364313588692,"{'type': 'Point', 'coordinates': (51.52146442843007, -0.08613364313588692)}"
3,IDEALondon (IDEA London),Technological Startups,Tech Startup,GB,"69 Wilson St, Shoreditch",51.52194499371275,-0.08464356610817254,"{'type': 'Point', 'coordinates': (51.52194499371275, -0.08464356610817254)}"
4,Onfido,Technological Startups,Tech Startup,GB,Onfido,51.519714,-0.0841875,"{'type': 'Point', 'coordinates': (51.519714, -0.0841875)}"
5,Conversocial,Technological Startups,Tech Startup,GB,City Road 25,51.522992338985155,-0.08654954086837706,"{'type': 'Point', 'coordinates': (51.522992338985155, -0.08654954086837706)}"
6,Newspaper Club,Technological Startups,Tech Startup,GB,Epworth House (25 City Road),51.52311189036361,-0.08698002018320844,"{'type': 'Point', 'coordinates': (51.52311189036361, -0.08698002018320844)}"
7,Google Campus London,Technological Startups,Coworking Space,GB,4-5 Bonhill St (Shoreditch),51.52256688028911,-0.08564311114945024,"{'type': 'Point', 'coordinates': (51.52256688028911, -0.08564311114945024)}"
8,Foursquare London,Technological Startups,Tech Startup,GB,1 Fore St,51.518090106431515,-0.09063720703125,"{'type': 'Point', 'coordinates': (51.518090106431515, -0.09063720703125)}"
9,Knewton London,Technological Startups,Tech Startup,GB,89 Worship Place,51.522069432372255,-0.08196573039639378,"{'type': 'Point', 'coordinates': (51.522069432372255, -0.08196573039639378)}"
10,bb (Brilliant Basics),Technological Startups,Tech Startup,GB,Zetland house (Scrutton St),51.523379149256435,-0.08347068533233973,"{'type': 'Point', 'coordinates': (51.523379149256435, -0.08347068533233973)}"
11,Bossa Studios,Technological Startups,Tech Startup,GB,Zetland House,51.523604444589125,-0.08336262397738975,"{'type': 'Point', 'coordinates': (51.523604444589125, -0.08336262397738975)}"
12,Ostmodern,Technological Startups,Tech Startup,GB,26 Leonard Street,51.52439870699725,-0.08623107035133416,"{'type': 'Point', 'coordinates': (51.52439870699725, -0.08623107035133416)}"
13,Lanyrd HQ,Technological Startups,Tech Startup,GB,32-38 Scrutton Street,51.52321491786681,-0.08180259112423288,"{'type': 'Point', 'coordinates': (51.52321491786681, -0.08180259112423288)}"
