,Name,Classification,Type,Country,Adress,Latitude,Longitude,location
0,KIXEYE,Designing Studios,Design Studio,US,333 Bush St (btwn Kearny & Montgomery),37.790861523537224,-122.40312572592482,"{'type': 'Point', 'coordinates': (37.790861523537224, -122.40312572592482)}"
1,W.E.T. Studios,Designing Studios,Design Studio,US,1214 Jackson St (Jones),37.795087,-122.41512,"{'type': 'Point', 'coordinates': (37.795087, -122.41512)}"
2,Design Intent,Designing Studios,Design Studio,US,1736 Stockton St 3rd Floor Suite 4,37.80194082091137,-122.40933001041412,"{'type': 'Point', 'coordinates': (37.80194082091137, -122.40933001041412)}"
3,Planet Moon Studios,Designing Studios,Design Studio,US,801 Montgomery St,37.796485900878906,-122.40396881103516,"{'type': 'Point', 'coordinates': (37.796485900878906, -122.40396881103516)}"
4,Turner Duckworth,Designing Studios,Design Studio,US,831 Montgomery St (Jackson),37.796838215548405,-122.40367288904172,"{'type': 'Point', 'coordinates': (37.796838215548405, -122.40367288904172)}"
5,Artemide,Designing Studios,Design Studio,US,"San Francisco, CA",37.79704352601745,-122.40360696056065,"{'type': 'Point', 'coordinates': (37.79704352601745, -122.40360696056065)}"
6,Clay,Designing Studios,Design Studio,US,300 Broadway,37.79858688,-122.40256244,"{'type': 'Point', 'coordinates': (37.79858688, -122.40256244)}"
7,Das Studio,Designing Studios,Design Studio,US,1050 Sandsome,37.79967,-122.40259,"{'type': 'Point', 'coordinates': (37.79967, -122.40259)}"
8,RIM Architects,Designing Studios,Design Studio,US,1000 Sansome St Ste 250 (Sansome and Vallejo),37.7997032002465,-122.40247965127594,"{'type': 'Point', 'coordinates': (37.7997032002465, -122.40247965127594)}"
9,Sterling Brands,Designing Studios,Design Studio,US,600 California St Fl 8 (Battery),37.7929158,-122.4046905,"{'type': 'Point', 'coordinates': (37.7929158, -122.4046905)}"
10,Food-Nerd,Designing Studios,Design Studio,US,842 California St (just East of Powell),37.79225958986612,-122.40840259157181,"{'type': 'Point', 'coordinates': (37.79225958986612, -122.40840259157181)}"
11,ValueCoders,Designing Studios,Design Studio,US,548 Market St Ste 1001 (San Francisco),37.79208327468276,-122.40812301635742,"{'type': 'Point', 'coordinates': (37.79208327468276, -122.40812301635742)}"
12,Kvänum Kitchens,Designing Studios,Design Studio,US,526 Washington St (at Sansome St.),37.795840000000005,-122.40251799999999,"{'type': 'Point', 'coordinates': (37.795840000000005, -122.40251799999999)}"
13,Foster+Partners,Designing Studios,Design Studio,US,1000 Sansome St,37.799506,-122.402299,"{'type': 'Point', 'coordinates': (37.799506, -122.402299)}"
14,Costa Brown Architecture,Designing Studios,Design Studio,US,1620 Montgomery St (Lombard),37.80415725708008,-122.40469360351562,"{'type': 'Point', 'coordinates': (37.80415725708008, -122.40469360351562)}"
15,Dockers Lab,Designing Studios,Design Studio,US,99 Green St (Battery),37.800350189208984,-122.40103912353516,"{'type': 'Point', 'coordinates': (37.800350189208984, -122.40103912353516)}"
16,Designit,Designing Studios,Design Studio,US,450 Sansome St,37.79468536376953,-122.40113830566406,"{'type': 'Point', 'coordinates': (37.79468536376953, -122.40113830566406)}"
17,Butchershop,Designing Studios,Design Studio,US,"San Francisco, CA 94111",37.79506432512239,-122.4008633408922,"{'type': 'Point', 'coordinates': (37.79506432512239, -122.4008633408922)}"
18,Wolff Olins,Designing Studios,Design Studio,US,55 Union St,37.801246643066406,-122.40094757080078,"{'type': 'Point', 'coordinates': (37.801246643066406, -122.40094757080078)}"
19,Fedex Office,Designing Studios,Design Studio,US,350 Sansome St,37.793883,-122.401146,"{'type': 'Point', 'coordinates': (37.793883, -122.401146)}"
20,J. Walter Thompson SF,Designing Studios,Design Studio,US,"San Francisco, CA",37.80090557607952,-122.40057305888453,"{'type': 'Point', 'coordinates': (37.80090557607952, -122.40057305888453)}"
21,Beast,Designing Studios,Design Studio,US,500 Sansome St,37.79551254996438,-122.40127686630876,"{'type': 'Point', 'coordinates': (37.79551254996438, -122.40127686630876)}"
22,TeakDigital.com,Designing Studios,Design Studio,US,330 Jackson St (Battery Street),37.79679364222967,-122.4008425974893,"{'type': 'Point', 'coordinates': (37.79679364222967, -122.4008425974893)}"
23,Alpha Graphics,Designing Studios,Design Studio,US,441 California St,37.792716999999996,-122.40168899999999,"{'type': 'Point', 'coordinates': (37.792716999999996, -122.40168899999999)}"
24,Ammunition Design,Designing Studios,Design Studio,US,1500 Sansome St,37.804352558715834,-122.4031944228743,"{'type': 'Point', 'coordinates': (37.804352558715834, -122.4031944228743)}"
25,BraytonHughes Design Studios,Designing Studios,Design Studio,US,465 California St Ste 350 (Between Montgomery and Sansome),37.792335,-122.401934,"{'type': 'Point', 'coordinates': (37.792335, -122.401934)}"
26,Stout,Designing Studios,Design Studio,US,545 Sutter St Ste 303 (at Powell Street),37.788909999999994,-122.409249,"{'type': 'Point', 'coordinates': (37.788909999999994, -122.409249)}"
27,Ramotion,Designing Studios,Design Studio,US,851 Burlway Road,37.78935955386874,-122.40668401122093,"{'type': 'Point', 'coordinates': (37.78935955386874, -122.40668401122093)}"
28,17FEET,Designing Studios,Design Studio,US,256 Sutter St (Kearny),37.789777,-122.405162,"{'type': 'Point', 'coordinates': (37.789777, -122.405162)}"
29,gravitytank,Designing Studios,Design Studio,US,332 Pine St Fl 8,37.79214859008789,-122.40144348144531,"{'type': 'Point', 'coordinates': (37.79214859008789, -122.40144348144531)}"
30,Allsteel Design Center,Designing Studios,Design Studio,US,4 Maritime Plz (Clay St & Davis St),37.79568099975586,-122.3991928100586,"{'type': 'Point', 'coordinates': (37.79568099975586, -122.3991928100586)}"
31,Publicis,Designing Studios,Advertising Agency,US,350 Bush St (Kearny),37.79144261730452,-122.40360001081747,"{'type': 'Point', 'coordinates': (37.79144261730452, -122.40360001081747)}"
32,Tom James Clothing Company,Designing Studios,Design Studio,US,220 Montgomery St,37.790984708677236,-122.40242876168888,"{'type': 'Point', 'coordinates': (37.790984708677236, -122.40242876168888)}"
33,San Francisco Museum of Craft and Design,Designing Studios,Design Studio,US,550 Sutter St,37.78938674926758,-122.40959167480469,"{'type': 'Point', 'coordinates': (37.78938674926758, -122.40959167480469)}"
34,Jak Home,Designing Studios,Design Studio,US,2423 Polk St (Union),37.799116,-122.42265400000001,"{'type': 'Point', 'coordinates': (37.799116, -122.42265400000001)}"
35,NDC HQ,Designing Studios,Design Studio,US,2435 Polk St Ste 12 (Union St.),37.79924011230469,-122.42271423339844,"{'type': 'Point', 'coordinates': (37.79924011230469, -122.42271423339844)}"
