,Name,Classification,Type,Country,Adress,Latitude,Longitude,location
0,The Devil's Acre,Leisure Places,Cocktail Bar,US,256 Columbus Ave (Broadway),37.79759876643011,-122.40619876998691,"{'type': 'Point', 'coordinates': (37.79759876643011, -122.40619876998691)}"
1,Tunnel Top,Leisure Places,Nightclub,US,601 Bush St (at Stockton St),37.790278000572236,-122.4072361885583,"{'type': 'Point', 'coordinates': (37.790278000572236, -122.4072361885583)}"
2,Hue SF,Leisure Places,Nightclub,US,447 Broadway,37.79782103592281,-122.40476501710008,"{'type': 'Point', 'coordinates': (37.79782103592281, -122.40476501710008)}"
3,The Starlight Room,Leisure Places,Nightclub,US,450 Powell St (at Sutter St.),37.78899161020305,-122.40841136135714,"{'type': 'Point', 'coordinates': (37.78899161020305, -122.40841136135714)}"
4,Monroe,Leisure Places,Nightclub,US,473 Broadway,37.79807996778778,-122.40506712303329,"{'type': 'Point', 'coordinates': (37.79807996778778, -122.40506712303329)}"
5,Love + Propaganda,Leisure Places,Nightclub,US,85 Campton Pl (Stockton),37.78883841522084,-122.4068918711642,"{'type': 'Point', 'coordinates': (37.78883841522084, -122.4068918711642)}"
6,Redford,Leisure Places,Bar,US,673 Geary St (at Leavenworth St),37.78648868719758,-122.41435338892603,"{'type': 'Point', 'coordinates': (37.78648868719758, -122.41435338892603)}"
7,Sutra Nightclub & Lounge,Leisure Places,Nightclub,US,443 Broadway (btwn Montgomery & Kearny),37.797950061395746,-122.40434646606445,"{'type': 'Point', 'coordinates': (37.797950061395746, -122.40434646606445)}"
8,Atmosphere,Leisure Places,Nightclub,US,447 Broadway,37.797856328338646,-122.40477929946246,"{'type': 'Point', 'coordinates': (37.797856328338646, -122.40477929946246)}"
9,Bimbo's 365 Club,Leisure Places,Rock Club,US,1025 Columbus Ave (btw Chestnut & Francisco),37.80383696172341,-122.41531501862453,"{'type': 'Point', 'coordinates': (37.80383696172341, -122.41531501862453)}"
10,Tope,Leisure Places,Nightclub,US,1326 Grant Ave (btw Green & Vallejo),37.799216388632125,-122.40730948903474,"{'type': 'Point', 'coordinates': (37.799216388632125, -122.40730948903474)}"
11,Kells Irish Restaurant & Bar,Leisure Places,Nightclub,US,530 Jackson St (at Columbus Ave.),37.79642703413752,-122.40431614281337,"{'type': 'Point', 'coordinates': (37.79642703413752, -122.40431614281337)}"
12,Rouge,Leisure Places,Nightclub,US,1500 Broadway (at Polk),37.7961072643291,-122.42196548817712,"{'type': 'Point', 'coordinates': (37.7961072643291, -122.42196548817712)}"
13,Swig,Leisure Places,Nightclub,US,561 Geary St (at Jones St),37.78682380866348,-122.41252656051893,"{'type': 'Point', 'coordinates': (37.78682380866348, -122.41252656051893)}"
14,Infusion Lounge,Leisure Places,Nightclub,US,124 Ellis St (at Cyril Magnin St.),37.785434051186506,-122.40853637788734,"{'type': 'Point', 'coordinates': (37.785434051186506, -122.40853637788734)}"
15,Roaring 20's,Leisure Places,Nightclub,US,552 Broadway,37.79792562030895,-122.40647238096291,"{'type': 'Point', 'coordinates': (37.79792562030895, -122.40647238096291)}"
16,Synergy's COSMO at Sens,Leisure Places,Nightclub,US,4 Embarcadero Ctr,37.79508892791391,-122.39579077495758,"{'type': 'Point', 'coordinates': (37.79508892791391, -122.39579077495758)}"
17,Horizon Restaurant and Lounge,Leisure Places,Nightclub,US,498 Broadway (at Kearny St),37.79804795081659,-122.40532764019825,"{'type': 'Point', 'coordinates': (37.79804795081659, -122.40532764019825)}"
18,Harlot,Leisure Places,Nightclub,US,46 Minna St,37.78888193462978,-122.39845640804118,"{'type': 'Point', 'coordinates': (37.78888193462978, -122.39845640804118)}"
19,Centerfolds,Leisure Places,Nightclub,US,391 Broadway (Montgomery),37.79813916918708,-122.40374508788472,"{'type': 'Point', 'coordinates': (37.79813916918708, -122.40374508788472)}"
20,Garden of Eden,Leisure Places,Nightclub,US,529 Broadway,37.79791938322583,-122.40609972030722,"{'type': 'Point', 'coordinates': (37.79791938322583, -122.40609972030722)}"
21,Nick's Crispy Tacos,Leisure Places,Taco Place,US,1500 Broadway (at Polk St),37.7960952576771,-122.42192617265991,"{'type': 'Point', 'coordinates': (37.7960952576771, -122.42192617265991)}"
22,Deja Vu Centerfolds,Leisure Places,Nightclub,US,391 Broadway,37.7980457,-122.4036424,"{'type': 'Point', 'coordinates': (37.7980457, -122.4036424)}"
23,Slide,Leisure Places,Nightclub,US,430 Mason St (at Post St),37.78747225395175,-122.40992365144201,"{'type': 'Point', 'coordinates': (37.78747225395175, -122.40992365144201)}"
24,Big 4 Restaurant,Leisure Places,American Restaurant,US,1075 California St (at Taylor St),37.7914899311035,-122.41239296657055,"{'type': 'Point', 'coordinates': (37.7914899311035, -122.41239296657055)}"
25,Johnny Foley's Irish House,Leisure Places,Irish Pub,US,243 Ofarrell St (at Cyril Magnin St.),37.786159933922484,-122.4088346393675,"{'type': 'Point', 'coordinates': (37.786159933922484, -122.4088346393675)}"
26,Piano Bar,Leisure Places,Piano Bar,US,"San Francisco, CA",37.786122,-122.409097,"{'type': 'Point', 'coordinates': (37.786122, -122.409097)}"
27,Gino & Carlo Cocktail Lounge,Leisure Places,Bar,US,548 Green St (btw Bannam Pl & Jasper Pl),37.799677439641584,-122.40824710891522,"{'type': 'Point', 'coordinates': (37.799677439641584, -122.40824710891522)}"
28,Kells Irish Restaurant & Bar,Leisure Places,Pub,US,530 Jackson St (at Columbus Ave.),37.79642703413752,-122.40431614281337,"{'type': 'Point', 'coordinates': (37.79642703413752, -122.40431614281337)}"
29,Cresta's Twenty Two Eleven Club,Leisure Places,Pub,US,2211 Polk St (btw Bonita St & Vallejo St),37.79710026247692,-122.42206104632079,"{'type': 'Point', 'coordinates': (37.79710026247692, -122.42206104632079)}"
30,Old Ship Saloon,Leisure Places,Pub,US,298 Pacific Ave (at Battery St),37.79777291626008,-122.40087485709928,"{'type': 'Point', 'coordinates': (37.79777291626008, -122.40087485709928)}"
31,Black Horse London Pub,Leisure Places,Pub,US,1514 Union St (at Van Ness),37.79847996357803,-122.42441695307367,"{'type': 'Point', 'coordinates': (37.79847996357803, -122.42441695307367)}"
32,Woods Polk Station,Leisure Places,Bar,US,2255 Polk St,37.79772403479492,-122.42222138997877,"{'type': 'Point', 'coordinates': (37.79772403479492, -122.42222138997877)}"
33,Grant & Green Saloon,Leisure Places,Rock Club,US,1371 Grant Ave (at Green St),37.79958766018664,-122.40742101569235,"{'type': 'Point', 'coordinates': (37.79958766018664, -122.40742101569235)}"
34,Northstar Cafe,Leisure Places,Dive Bar,US,1560 Powell St (at Green St),37.79927206568605,-122.41049493791749,"{'type': 'Point', 'coordinates': (37.79927206568605, -122.41049493791749)}"
35,White Horse Tavern & Restaurant,Leisure Places,Pub,US,635 Sutter St (Taylor),37.78893062662029,-122.41103042483044,"{'type': 'Point', 'coordinates': (37.78893062662029, -122.41103042483044)}"
36,Church Key,Leisure Places,Beer Bar,US,1402 Grant Ave (btw Green & Union St),37.79977035287969,-122.40742854349567,"{'type': 'Point', 'coordinates': (37.79977035287969, -122.40742854349567)}"
37,Grumpy's American Pub,Leisure Places,Pub,US,125 Vallejo St (at Front),37.79952172723444,-122.40066902398826,"{'type': 'Point', 'coordinates': (37.79952172723444, -122.40066902398826)}"
38,Sutter Pub & Restaurant,Leisure Places,Pub,US,700 Sutter St (at Taylor St),37.788867409353834,-122.41195197147918,"{'type': 'Point', 'coordinates': (37.788867409353834, -122.41195197147918)}"
39,Johnny Foley's Irish House,Leisure Places,Irish Pub,US,243 Ofarrell St (at Cyril Magnin St.),37.786159933922484,-122.4088346393675,"{'type': 'Point', 'coordinates': (37.786159933922484, -122.4088346393675)}"
