,Name,Classification,Type,Country,Adress,Latitude,Longitude,location
0,Washington Square Park,Parks,Park,US,Columbus Ave (btwn Filbert & Union St),37.80074764244092,-122.40978598594664,"{'type': 'Point', 'coordinates': (37.80074764244092, -122.40978598594664)}"
1,Ina Coolbrith Park,Parks,Park,US,Taylor St (at Vallejo St),37.79827221248973,-122.41351962089539,"{'type': 'Point', 'coordinates': (37.79827221248973, -122.41351962089539)}"
2,Vallejo Street Stairs,Parks,Park,US,"San Francisco, CA 94133",37.798091152080865,-122.41312463677171,"{'type': 'Point', 'coordinates': (37.798091152080865, -122.41312463677171)}"
3,Macondray Lane,Parks,Park,US,Between Taylor and Jones (Tales of the City's Barbary Lane),37.79924289610751,-122.41484731435776,"{'type': 'Point', 'coordinates': (37.79924289610751, -122.41484731435776)}"
4,Joe DiMaggio Playground,Parks,Playground,US,651 Lombard St (at Powell),37.802450196875085,-122.41272760643703,"{'type': 'Point', 'coordinates': (37.802450196875085, -122.41272760643703)}"
5,Collis P. Huntington Park,Parks,Park,US,California St (btwn Taylor & Cushman St),37.79216169939808,-122.4121543765068,"{'type': 'Point', 'coordinates': (37.79216169939808, -122.4121543765068)}"
6,Transamerica Redwood Park,Parks,Park,US,600 Montgomery St (btwn Washington & Clay St),37.79524987133324,-122.40231335163116,"{'type': 'Point', 'coordinates': (37.79524987133324, -122.40231335163116)}"
7,Pioneer Park,Parks,Park,US,Telegraph Hill Blvd,37.803421062056465,-122.40620845532744,"{'type': 'Point', 'coordinates': (37.803421062056465, -122.40620845532744)}"
8,Jack Early Park,Parks,Park,US,100 Pfeiffer (Grant),37.80489889550479,-122.40862368289866,"{'type': 'Point', 'coordinates': (37.80489889550479, -122.40862368289866)}"
9,Hyde-Vallejo Mini Park,Parks,Park,US,1825 Hyde (near Vallejo),37.79759509574194,-122.41917420933225,"{'type': 'Point', 'coordinates': (37.79759509574194, -122.41917420933225)}"
10,Portsmouth Square Park,Parks,Park,US,Portsmouth Square Plaza,37.79475613307113,-122.40527190453443,"{'type': 'Point', 'coordinates': (37.79475613307113, -122.40527190453443)}"
11,George Sterling Memorial Park,Parks,Park,US,1199 Lombard (at Larkin),37.80169483745571,-122.42108407980099,"{'type': 'Point', 'coordinates': (37.80169483745571, -122.42108407980099)}"
12,St. Mary's Square,Parks,Park,US,651 California St (Kearny St),37.79193022063709,-122.40533274916373,"{'type': 'Point', 'coordinates': (37.79193022063709, -122.40533274916373)}"
13,Fay Park,Parks,Park,US,2366 Leavenworth St (at Chestnut),37.80291182916114,-122.41791926292854,"{'type': 'Point', 'coordinates': (37.80291182916114, -122.41791926292854)}"
14,Lombard Street,Parks,Monument / Landmark,US,Lombard St (btwn Hyde & Leavenworth St),37.802121129948766,-122.4187895489064,"{'type': 'Point', 'coordinates': (37.802121129948766, -122.4187895489064)}"
15,Allyne Park,Parks,Park,US,1700 Green (at Gough),37.79758501861206,-122.42740572548526,"{'type': 'Point', 'coordinates': (37.79758501861206, -122.42740572548526)}"
16,Union Square,Parks,Pedestrian Plaza,US,333 Post St (btwn Powell & Stockton St),37.78793300477387,-122.40750074386597,"{'type': 'Point', 'coordinates': (37.78793300477387, -122.40750074386597)}"
17,Russian Hill Park,Parks,Park,US,Bay Street (at Hyde),37.80472531778419,-122.42035476327844,"{'type': 'Point', 'coordinates': (37.80472531778419, -122.42035476327844)}"
18,Helen Wills Playground,Parks,Playground,US,1965 Larkin St (at Broadway),37.79598511606862,-122.42042345313213,"{'type': 'Point', 'coordinates': (37.79598511606862, -122.42042345313213)}"
19,Sue Bierman Park,Parks,Park,US,269 Drumm St. (at Market St. & The Embarcadero),37.7959238683626,-122.39623010158539,"{'type': 'Point', 'coordinates': (37.7959238683626, -122.39623010158539)}"
20,Salesforce Park,Parks,Park,US,Natoma St (btwn Beale & 2nd St),37.789004663475026,-122.3970252426277,"{'type': 'Point', 'coordinates': (37.789004663475026, -122.3970252426277)}"
21,Coit Tower,Parks,Monument / Landmark,US,1 Telegraph Hill Blvd (btwn Lombard & Union St),37.802398123661035,-122.40583930386968,"{'type': 'Point', 'coordinates': (37.802398123661035, -122.40583930386968)}"
22,Sydney Walton Park,Parks,Park,US,Sydney G. Walton Square (btwn Davis and Front),37.797574471481546,-122.39901578248832,"{'type': 'Point', 'coordinates': (37.797574471481546, -122.39901578248832)}"
23,Broadway Tunnel East Mini Park,Parks,Park,US,967 Broadway (at Himmelman),37.79735432482382,-122.4105024385124,"{'type': 'Point', 'coordinates': (37.79735432482382, -122.4105024385124)}"
24,Joseph Conrad Mini Park,Parks,Park,US,640 Beach (at Columbus),37.80656379255843,-122.41914987261303,"{'type': 'Point', 'coordinates': (37.80656379255843, -122.41914987261303)}"
25,Woh Hei Park,Parks,Playground,US,"San Francisco, CA",37.79601767766647,-122.41010068892297,"{'type': 'Point', 'coordinates': (37.79601767766647, -122.41010068892297)}"
26,Parklet at Tony's Pizza,Parks,Park,US,"1570 Stockton St, San Francisco, CA 94133",37.80031204223633,-122.4090576171875,"{'type': 'Point', 'coordinates': (37.80031204223633, -122.4090576171875)}"
27,Russian Hill Cemetary,Parks,Park,US,Vallejo St (Jones/Taylor),37.797918015101345,-122.41431463527272,"{'type': 'Point', 'coordinates': (37.797918015101345, -122.41431463527272)}"
28,North Beach Pool,Parks,Pool,US,651 Lombard St (Mason Street),37.80276134017745,-122.4122108790281,"{'type': 'Point', 'coordinates': (37.80276134017745, -122.4122108790281)}"
29,Molinari Mana Park,Parks,Park,US,000 Marion (Union),37.79986949091427,-122.4152499530203,"{'type': 'Point', 'coordinates': (37.79986949091427, -122.4152499530203)}"
30,Broadway Tunnel West Mini Park,Parks,Park,US,75 Cyrus (at Broadway),37.79639126896873,-122.41752077044868,"{'type': 'Point', 'coordinates': (37.79639126896873, -122.41752077044868)}"
31,Transamerica Pyramid,Parks,Building,US,600 Montgomery St (at Washington St),37.79512156287844,-122.40279425713732,"{'type': 'Point', 'coordinates': (37.79512156287844, -122.40279425713732)}"
32,Secret Mini Park,Parks,Park,US,1030 Vallejo St.,37.79829564905767,-122.41873983388662,"{'type': 'Point', 'coordinates': (37.79829564905767, -122.41873983388662)}"
33,Bummer and Lazarus Memorial,Parks,Park,US,Transamerica Pyramid,37.795298587215235,-122.4022904745708,"{'type': 'Point', 'coordinates': (37.795298587215235, -122.4022904745708)}"
34,Сан Франциско,Parks,Park,US,"San Francisco, CA",37.79074363149438,-122.41134513113076,"{'type': 'Point', 'coordinates': (37.79074363149438, -122.41134513113076)}"
35,North Beach,Parks,Neighborhood,US,"San Francisco, CA 94133",37.79943561006594,-122.40885061512955,"{'type': 'Point', 'coordinates': (37.79943561006594, -122.40885061512955)}"
36,chestnut and kearny open space,Parks,Park,US,"San Francisco, CA 94133",37.804842,-122.407338,"{'type': 'Point', 'coordinates': (37.804842, -122.407338)}"
37,Levi’s Plaza,Parks,Park,US,"San Francisco, CA 94111",37.802304,-122.401583,"{'type': 'Point', 'coordinates': (37.802304, -122.401583)}"
38,Sausalito Park,Parks,Park,US,"Sausalito, CA",37.806527106669954,-122.4106095039646,"{'type': 'Point', 'coordinates': (37.806527106669954, -122.4106095039646)}"
