,Name,Classification,Type,Country,Adress,Latitude,Longitude,location
0,HACK Temple,Technological Startups,Tech Startup,US,"San Francisco, CA 94133",37.79741493674675,-122.41227997790507,"{'type': 'Point', 'coordinates': (37.79741493674675, -122.41227997790507)}"
1,"Bitpollen, Inc.",Technological Startups,Tech Startup,US,222 Columbus Ave (Kearny),37.797271843974116,-122.40559101104735,"{'type': 'Point', 'coordinates': (37.797271843974116, -122.40559101104735)}"
2,popexpert,Technological Startups,Tech Startup,US,1020 Kearny St,37.79737,-122.405292,"{'type': 'Point', 'coordinates': (37.79737, -122.405292)}"
3,Starcity,Technological Startups,Tech Startup,US,1020 Kearny,37.797537,-122.405212,"{'type': 'Point', 'coordinates': (37.797537, -122.405212)}"
4,Vibes,Technological Startups,Tech Startup,US,920 Montgomery St,37.7977,-122.40341399999998,"{'type': 'Point', 'coordinates': (37.7977, -122.40341399999998)}"
5,myWebRoom HQ,Technological Startups,Tech Startup,US,875 Sansome St (Broadway),37.798234,-122.402474,"{'type': 'Point', 'coordinates': (37.798234, -122.402474)}"
6,AdsNative Global HQ,Technological Startups,Tech Startup,US,832 Sansome St #400 (btwn Broadway & Pacific Ave.),37.798128000000005,-122.402452,"{'type': 'Point', 'coordinates': (37.798128000000005, -122.402452)}"
7,grabr,Technological Startups,Tech Startup,US,875 Sansome St (Broadway),37.79824751916652,-122.4023569601353,"{'type': 'Point', 'coordinates': (37.79824751916652, -122.4023569601353)}"
8,Pantheon Systems,Technological Startups,Tech Startup,US,717 California St Fl 3 (Grant St),37.792286,-122.40631,"{'type': 'Point', 'coordinates': (37.792286, -122.40631)}"
9,Boomity,Technological Startups,Tech Startup,US,1005 Sansome St (Vallejo),37.79978636809208,-122.40242323020765,"{'type': 'Point', 'coordinates': (37.79978636809208, -122.40242323020765)}"
10,Sharethrough,Technological Startups,Tech Startup,US,840 Battery Street (Broadway),37.797695983585214,-122.40191088029256,"{'type': 'Point', 'coordinates': (37.797695983585214, -122.40191088029256)}"
11,Amino HQ,Technological Startups,Tech Startup,US,394 Pacific Ave (Sansome St),37.79766,-122.401902,"{'type': 'Point', 'coordinates': (37.79766, -122.401902)}"
