,Name,Classification,Type,Country,Adress,Latitude,Longitude,location
0,Chinatown Station,Travelling Stations,Metro Station,US,Stockton Street (Washington Street),37.79484059577747,-122.40823665643617,"{'type': 'Point', 'coordinates': (37.79484059577747, -122.40823665643617)}"
1,MUNI Metro stop - New Montgomery,Travelling Stations,Metro Station,US,"San Francisco, CA",37.788185,-122.40458,"{'type': 'Point', 'coordinates': (37.788185, -122.40458)}"
2,Montgomery St. BART Station,Travelling Stations,Metro Station,US,598 Market St (at 2nd St),37.7889402536276,-122.40215707053427,"{'type': 'Point', 'coordinates': (37.7889402536276, -122.40215707053427)}"
3,Embarcadero BART Station,Travelling Stations,Metro Station,US,298 Market St. (at Front St.),37.793063222711,-122.39686947629929,"{'type': 'Point', 'coordinates': (37.793063222711, -122.39686947629929)}"
4,Powell St. BART Station,Travelling Stations,Metro Station,US,899 Market St (btwn 4th & 5th St),37.78457353538716,-122.40788819179876,"{'type': 'Point', 'coordinates': (37.78457353538716, -122.40788819179876)}"
5,Powell MUNI Metro Station,Travelling Stations,Metro Station,US,899 Market St (at Powell St),37.78441353969143,-122.40794917317275,"{'type': 'Point', 'coordinates': (37.78441353969143, -122.40794917317275)}"
6,Civic Center/UN Plaza BART Station,Travelling Stations,Metro Station,US,1150 Market St. (btwn Hyde & 7th),37.778759911499854,-122.41497894315671,"{'type': 'Point', 'coordinates': (37.778759911499854, -122.41497894315671)}"
7,Church Cross (Church & Market),Travelling Stations,Metro Station,US,Church St (at Market St),37.767559812284034,-122.42888331413268,"{'type': 'Point', 'coordinates': (37.767559812284034, -122.42888331413268)}"
8,16th St. Mission BART Station,Travelling Stations,Metro Station,US,2000 Mission St (at 16th St),37.76492337307559,-122.4198731915354,"{'type': 'Point', 'coordinates': (37.76492337307559, -122.4198731915354)}"
9,Chinatown Station,Travelling Stations,Light Rail Station,US,Stockton Street (Washington Street),37.79484059577747,-122.40823665643617,"{'type': 'Point', 'coordinates': (37.79484059577747, -122.40823665643617)}"
10,California Trolley Line,Travelling Stations,Light Rail Station,US,"San Francisco, CA 94108",37.79222299375942,-122.40925991893285,"{'type': 'Point', 'coordinates': (37.79222299375942, -122.40925991893285)}"
11,Cable Car Stop Stockton & California,Travelling Stations,Light Rail Station,US,"San Francisco, CA",37.79222733856789,-122.40756868349457,"{'type': 'Point', 'coordinates': (37.79222733856789, -122.40756868349457)}"
12,Cable Car Stop Mason & California,Travelling Stations,Light Rail Station,US,"San Francisco, CA",37.79150606990569,-122.41073118700916,"{'type': 'Point', 'coordinates': (37.79150606990569, -122.41073118700916)}"
13,Cable Car Stop Pine And Powell,Travelling Stations,Light Rail Station,US,"San Francisco, CA 94108",37.79121,-122.40894,"{'type': 'Point', 'coordinates': (37.79121, -122.40894)}"
14,Cable Car Stop - California & Leavenworth,Travelling Stations,Light Rail Station,US,California St (Leavenworth St),37.79086214799873,-122.41567895658054,"{'type': 'Point', 'coordinates': (37.79086214799873, -122.41567895658054)}"
15,Beach St & Jones St,Travelling Stations,Light Rail Station,US,"San Francisco, CA",37.80511317801596,-122.41526101463252,"{'type': 'Point', 'coordinates': (37.80511317801596, -122.41526101463252)}"
16,Cable Car Stop - Hyde & Lombard,Travelling Stations,Light Rail Station,US,Hyde St. (at Lombard St.),37.80197154633334,-122.4196307932121,"{'type': 'Point', 'coordinates': (37.80197154633334, -122.4196307932121)}"
17,Chestnut and Hyde Cable Car Stop,Travelling Stations,Light Rail Station,US,"San Francisco, CA 94109",37.802499969887656,-122.41979064692997,"{'type': 'Point', 'coordinates': (37.802499969887656, -122.41979064692997)}"
18,MUNI Metro Stop - Embarcadero & Sansome,Travelling Stations,Light Rail Station,US,The Embarcadero (at Sansome St),37.80473189313461,-122.40305900573729,"{'type': 'Point', 'coordinates': (37.80473189313461, -122.40305900573729)}"
19,MUNI Metro Stop - The Embarcadero & Greenwich,Travelling Stations,Light Rail Station,US,The Embarcadero (at Greenwich St),37.80297533694718,-122.40103276573244,"{'type': 'Point', 'coordinates': (37.80297533694718, -122.40103276573244)}"
20,MUNI Metro Stop - Embarcadero & Green,Travelling Stations,Light Rail Station,US,Th e Embarcadero (at Green St),37.800982,-122.399218,"{'type': 'Point', 'coordinates': (37.800982, -122.399218)}"
21,MUNI Metro Stop - Embarcadero & Bay,Travelling Stations,Light Rail Station,US,The Embarcadero (at Bay St),37.806853051859896,-122.4062411232713,"{'type': 'Point', 'coordinates': (37.806853051859896, -122.4062411232713)}"
22,Muni Stop 14501,Travelling Stations,Light Rail Station,US,Embarcadero (Bay),37.806946,-122.406275,"{'type': 'Point', 'coordinates': (37.806946, -122.406275)}"
23,Stockton And Beach F Stop,Travelling Stations,Light Rail Station,US,"San Francisco, CA",37.80778839005932,-122.41106822253741,"{'type': 'Point', 'coordinates': (37.80778839005932, -122.41106822253741)}"
24,Muni Stop 13092,Travelling Stations,Light Rail Station,US,Beach & Mason,37.807373,-122.414382,"{'type': 'Point', 'coordinates': (37.807373, -122.414382)}"
25,MUNI F Line Beach & Mason,Travelling Stations,Light Rail Station,US,Beach St (at Mason St),37.807402356524946,-122.41436546025372,"{'type': 'Point', 'coordinates': (37.807402356524946, -122.41436546025372)}"
26,MUNI Metro Stop - The Embarcadero & Broadway,Travelling Stations,Light Rail Station,US,The Embarcadero (at Broadway),37.79897929346773,-122.39753328701352,"{'type': 'Point', 'coordinates': (37.79897929346773, -122.39753328701352)}"
27,MUNI Metro Stop - The Embarcadero & Stockton,Travelling Stations,Light Rail Station,US,The Embarcadero (at Stockton St),37.808353424072266,-122.4102783203125,"{'type': 'Point', 'coordinates': (37.808353424072266, -122.4102783203125)}"
28,MUNI Stop ID 135184 & 15184,Travelling Stations,Light Rail Station,US,Jones St (at Beach St),37.807325779129535,-122.41737127304077,"{'type': 'Point', 'coordinates': (37.807325779129535, -122.41737127304077)}"
29,F- Streetcar First Stop- Beach & Jones,Travelling Stations,Light Rail Station,US,Jones St (Beach St & Jones St),37.80738667501321,-122.41729729407709,"{'type': 'Point', 'coordinates': (37.80738667501321, -122.41729729407709)}"
30,The Boat Car,Travelling Stations,Light Rail Station,US,"San Francisco, CA",37.798025,-122.396621,"{'type': 'Point', 'coordinates': (37.798025, -122.396621)}"
31,Montgomery MUNI Metro Station,Travelling Stations,Light Rail Station,US,598 Market St (at 2nd St),37.78886701542562,-122.40215768933568,"{'type': 'Point', 'coordinates': (37.78886701542562, -122.40215768933568)}"
32,MUNI F Line - Market & Drumm,Travelling Stations,Light Rail Station,US,1 Drumm,37.79384019616875,-122.39667586405216,"{'type': 'Point', 'coordinates': (37.79384019616875, -122.39667586405216)}"
33,California Cable Car Turnaround-West,Travelling Stations,Light Rail Station,US,California (Van Ness),37.7904,-122.42212,"{'type': 'Point', 'coordinates': (37.7904, -122.42212)}"
34,Embarcadero MUNI Metro Station,Travelling Stations,Light Rail Station,US,298 Market St (btwn Spear & Beale),37.792694964400695,-122.39692479401873,"{'type': 'Point', 'coordinates': (37.792694964400695, -122.39692479401873)}"
35,MUNI Bus Stop - Market & Montgomery,Travelling Stations,Bus Line,US,Market St (at Montgomery St),37.78868486789421,-122.40220036150517,"{'type': 'Point', 'coordinates': (37.78868486789421, -122.40220036150517)}"
36,Powell-Hyde Cable Car Stop North Point,Travelling Stations,Light Rail Station,US,Hyde St (Beach St),37.806862,-122.421047,"{'type': 'Point', 'coordinates': (37.806862, -122.421047)}"
37,MUNI F - Market & Stockton,Travelling Stations,Light Rail Station,US,Market St (at Stockton St),37.78585974012644,-122.40571441012624,"{'type': 'Point', 'coordinates': (37.78585974012644, -122.40571441012624)}"
38,Chinatown Station,Travelling Stations,Light Rail Station,US,Stockton Street (Washington Street),37.79484059577747,-122.40823665643617,"{'type': 'Point', 'coordinates': (37.79484059577747, -122.40823665643617)}"
39,California Trolley Line,Travelling Stations,Light Rail Station,US,"San Francisco, CA 94108",37.79222299375942,-122.40925991893285,"{'type': 'Point', 'coordinates': (37.79222299375942, -122.40925991893285)}"
40,Cable Car Stop Stockton & California,Travelling Stations,Light Rail Station,US,"San Francisco, CA",37.79222733856789,-122.40756868349457,"{'type': 'Point', 'coordinates': (37.79222733856789, -122.40756868349457)}"
41,Cable Car Stop Mason & California,Travelling Stations,Light Rail Station,US,"San Francisco, CA",37.79150606990569,-122.41073118700916,"{'type': 'Point', 'coordinates': (37.79150606990569, -122.41073118700916)}"
42,Cable Car Stop Pine And Powell,Travelling Stations,Light Rail Station,US,"San Francisco, CA 94108",37.79121,-122.40894,"{'type': 'Point', 'coordinates': (37.79121, -122.40894)}"
43,Cable Car Stop - California & Leavenworth,Travelling Stations,Light Rail Station,US,California St (Leavenworth St),37.79086214799873,-122.41567895658054,"{'type': 'Point', 'coordinates': (37.79086214799873, -122.41567895658054)}"
44,Beach St & Jones St,Travelling Stations,Light Rail Station,US,"San Francisco, CA",37.80511317801596,-122.41526101463252,"{'type': 'Point', 'coordinates': (37.80511317801596, -122.41526101463252)}"
45,Cable Car Stop - Hyde & Lombard,Travelling Stations,Light Rail Station,US,Hyde St. (at Lombard St.),37.80197154633334,-122.4196307932121,"{'type': 'Point', 'coordinates': (37.80197154633334, -122.4196307932121)}"
46,Chestnut and Hyde Cable Car Stop,Travelling Stations,Light Rail Station,US,"San Francisco, CA 94109",37.802499969887656,-122.41979064692997,"{'type': 'Point', 'coordinates': (37.802499969887656, -122.41979064692997)}"
47,MUNI Metro Stop - Embarcadero & Sansome,Travelling Stations,Light Rail Station,US,The Embarcadero (at Sansome St),37.80473189313461,-122.40305900573729,"{'type': 'Point', 'coordinates': (37.80473189313461, -122.40305900573729)}"
48,MUNI Metro Stop - The Embarcadero & Greenwich,Travelling Stations,Light Rail Station,US,The Embarcadero (at Greenwich St),37.80297533694718,-122.40103276573244,"{'type': 'Point', 'coordinates': (37.80297533694718, -122.40103276573244)}"
49,MUNI Metro Stop - Embarcadero & Green,Travelling Stations,Light Rail Station,US,Th e Embarcadero (at Green St),37.800982,-122.399218,"{'type': 'Point', 'coordinates': (37.800982, -122.399218)}"
