,Name,Classification,Type,Country,Adress,Latitude,Longitude,location
0,EtonHouse International Pre-School,School,Nursery School,SG,240 Outram Road,1.2848559045544288,103.83517750429917,"{'type': 'Point', 'coordinates': (1.2848559045544288, 103.83517750429917)}"
1,Little Skool House at SGH,School,Nursery School,SG,"Singapore General Hospital, Outram Road, SGH Sisters Quarters",1.277376678246711,103.8357138633728,"{'type': 'Point', 'coordinates': (1.277376678246711, 103.8357138633728)}"
2,PCF Kampong Glam,School,Nursery School,SG,462/463 Crawford Lane #03-33,1.304673214937793,103.86214137221985,"{'type': 'Point', 'coordinates': (1.304673214937793, 103.86214137221985)}"
3,E&P Learning Place,School,Nursery School,SG,"#04-06/07, Delfi Orchard (402 Orchard Rd)",1.3069301881988944,103.82841793714026,"{'type': 'Point', 'coordinates': (1.3069301881988944, 103.82841793714026)}"
4,Wesley Child Development Centre,School,Nursery School,SG,Blk 29 telok blangah rise,1.2748100830307927,103.82133458204608,"{'type': 'Point', 'coordinates': (1.2748100830307927, 103.82133458204608)}"
5,Eton House Pre-School,School,Nursery School,SG,39 Newton Road,1.3172550527969586,103.8414218121627,"{'type': 'Point', 'coordinates': (1.3172550527969586, 103.8414218121627)}"
6,Appleland Playhouse,School,Nursery School,SG,104C Depot Road #01-03,1.2808160363063417,103.81160077331985,"{'type': 'Point', 'coordinates': (1.2808160363063417, 103.81160077331985)}"
7,Cantonment Primary School,School,Elementary School,SG,1 Cantonment Cl,1.2755273909317102,103.83914225219107,"{'type': 'Point', 'coordinates': (1.2755273909317102, 103.83914225219107)}"
8,St. Margaret's Primary School,School,Elementary School,SG,99 Wilkie Road (Upp Wilkie Rd),1.3040839104640924,103.8462321519091,"{'type': 'Point', 'coordinates': (1.3040839104640924, 103.8462321519091)}"
9,Zhangde Primary School,School,Elementary School,SG,51 Jalan Membina (Tiong Barhu Rd),1.284212440805657,103.82682534716076,"{'type': 'Point', 'coordinates': (1.284212440805657, 103.82682534716076)}"
10,Alexandra Primary School,School,Elementary School,SG,2A Prince Charles Cres.,1.2912133999396969,103.82391214370728,"{'type': 'Point', 'coordinates': (1.2912133999396969, 103.82391214370728)}"
11,Radin Mas Primary School,School,Elementary School,SG,1 Bukit Purmei Ave.,1.2747282619017746,103.82397238574971,"{'type': 'Point', 'coordinates': (1.2747282619017746, 103.82397238574971)}"
12,E&P Learning Place,School,Elementary School,SG,"#04-06/07, Delfi Orchard (402 Orchard Rd)",1.3069301881988944,103.82841793714026,"{'type': 'Point', 'coordinates': (1.3069301881988944, 103.82841793714026)}"
13,St. Joseph's Institution Junior,School,Elementary School,SG,3 Essex Rd,1.3170417449629637,103.84547710418701,"{'type': 'Point', 'coordinates': (1.3170417449629637, 103.84547710418701)}"
14,Gan Eng Seng Primary School,School,Elementary School,SG,100 Redhill Cl,1.2857645771414095,103.81518745358852,"{'type': 'Point', 'coordinates': (1.2857645771414095, 103.81518745358852)}"
15,Hong Wen School,School,Elementary School,SG,30 Towner Rd,1.3213981788309523,103.85729464140026,"{'type': 'Point', 'coordinates': (1.3213981788309523, 103.85729464140026)}"
16,Bendemeer Primary School,School,Elementary School,SG,91 Bendemeer Rd.,1.3226727624829213,103.86478563106348,"{'type': 'Point', 'coordinates': (1.3226727624829213, 103.86478563106348)}"
17,Henderson Secondary School,School,Middle School,SG,100 Henderson Rd,1.2852067702689305,103.81983518600464,"{'type': 'Point', 'coordinates': (1.2852067702689305, 103.81983518600464)}"
18,Advocators Education,School,Middle School,SG,Singapore,1.3175745010375977,103.84297180175781,"{'type': 'Point', 'coordinates': (1.3175745010375977, 103.84297180175781)}"
19,Anglo-Chinese School (Barker Road),School,High School,SG,60 Barker Rd,1.3180922876661414,103.83464299564139,"{'type': 'Point', 'coordinates': (1.3180922876661414, 103.83464299564139)}"
20,Music Room @ Qtss,School,Middle School,SG,1 Strathmore Avenue,1.293880856919291,103.81340449897073,"{'type': 'Point', 'coordinates': (1.293880856919291, 103.81340449897073)}"
21,QTSS 3E Classroom,School,Middle School,SG,1 Strathmore Road,1.2928541222539507,103.81291772814406,"{'type': 'Point', 'coordinates': (1.2928541222539507, 103.81291772814406)}"
22,Outram Secondary School,School,High School,SG,3 York Hill (Chin Swee Rd),1.2865552682668648,103.83738295883659,"{'type': 'Point', 'coordinates': (1.2865552682668648, 103.83738295883659)}"
23,Former Nan Chiau High School,School,High School,SG,Kim Yam Road,1.292951029450497,103.83911490440369,"{'type': 'Point', 'coordinates': (1.292951029450497, 103.83911490440369)}"
24,SOTA Assembly Area,School,High School,SG,Singapore,1.298958,103.84859,"{'type': 'Point', 'coordinates': (1.298958, 103.84859)}"
25,High School@OFS,School,High School,SG,25 (Paterson Road),1.3005962304458158,103.83335228835567,"{'type': 'Point', 'coordinates': (1.3005962304458158, 103.83335228835567)}"
26,PSB Academy Block A,School,High School,SG,169199,1.2877039453199148,103.82585741633898,"{'type': 'Point', 'coordinates': (1.2877039453199148, 103.82585741633898)}"
27,Gan Eng Seng School 顏永成學校,School,High School,SG,1 Henderson Rd (Alexandra Rd),1.289883361733737,103.82354736328125,"{'type': 'Point', 'coordinates': (1.289883361733737, 103.82354736328125)}"
28,CHIJ St Theresa's Convent,School,High School,SG,160 Lower Delta Rd. (Telok Blangah Way),1.2761689241999712,103.82290254071415,"{'type': 'Point', 'coordinates': (1.2761689241999712, 103.82290254071415)}"
29,Shelton International College & High School,School,High School,SG,1 Telok Blangah Rise,1.2741409250572735,103.8204078231448,"{'type': 'Point', 'coordinates': (1.2741409250572735, 103.8204078231448)}"
30,Smartlab Private School,School,High School,SG,60 Tessensohn Road,1.315911253483582,103.8562981387021,"{'type': 'Point', 'coordinates': (1.315911253483582, 103.8562981387021)}"
31,Crescent Girls' School,School,High School,SG,357 Tanglin Rd (btw Jervois Rd & Belvedere Close),1.293450566110906,103.81719684331003,"{'type': 'Point', 'coordinates': (1.293450566110906, 103.81719684331003)}"
32,Raffles Girls' School (Secondary),School,High School,SG,20 Anderson Rd,1.3123506190902994,103.82923682568259,"{'type': 'Point', 'coordinates': (1.3123506190902994, 103.82923682568259)}"
33,Raffles Room,School,High School,SG,"Raffles Girls' School (Secondary), 20 Anderson Road",1.312146744713215,103.82885755274245,"{'type': 'Point', 'coordinates': (1.312146744713215, 103.82885755274245)}"
34,Novena Hall International Student's Hostel,School,High School,SG,78 Gilstead Road,1.3186000383056358,103.84211639210832,"{'type': 'Point', 'coordinates': (1.3186000383056358, 103.84211639210832)}"
35,Anglo-Chinese School (Barker Road),School,High School,SG,60 Barker Rd,1.3180922876661414,103.83464299564139,"{'type': 'Point', 'coordinates': (1.3180922876661414, 103.83464299564139)}"
36,Bukit Merah Secondary School,School,High School,SG,10 Lengkok Bahru,1.2859330152967017,103.81352902202181,"{'type': 'Point', 'coordinates': (1.2859330152967017, 103.81352902202181)}"
37,NorthLight School,School,High School,SG,151 Towner Rd,1.3206671308929399,103.85684967041016,"{'type': 'Point', 'coordinates': (1.3206671308929399, 103.85684967041016)}"
38,Art Class @ Bukit Merah Secondary School,School,High School,SG,Lengkok Bahru 10,1.2856090307700514,103.81326865577306,"{'type': 'Point', 'coordinates': (1.2856090307700514, 103.81326865577306)}"
39,ACS(BR): 2 Timothy!,School,High School,SG,60 Barker Road,1.3197637631170032,103.8355034739894,"{'type': 'Point', 'coordinates': (1.3197637631170032, 103.8355034739894)}"
40,Queenstown Secondary School,School,High School,SG,1 Strathmore Rd,1.2934698333694012,103.81300262990626,"{'type': 'Point', 'coordinates': (1.2934698333694012, 103.81300262990626)}"
41,Queenstown Secondary School Indoor Sports Hall,School,High School,SG,1 Strathmore Road,1.293518076907382,103.81340449897073,"{'type': 'Point', 'coordinates': (1.293518076907382, 103.81340449897073)}"
42,School Hall @ Queenstown Secondary School,School,General College & University,SG,1 Strathmore Ave.,1.293618232257355,103.81272528435301,"{'type': 'Point', 'coordinates': (1.293618232257355, 103.81272528435301)}"
43,Balestier Hill Secondary School,School,High School,SG,11 Novena Rise,1.3250020351425553,103.84451051892127,"{'type': 'Point', 'coordinates': (1.3250020351425553, 103.84451051892127)}"
44,Bendemeer Secondary School,School,High School,SG,1 St. Wilfred Road,1.3254145895749398,103.86192289229821,"{'type': 'Point', 'coordinates': (1.3254145895749398, 103.86192289229821)}"
45,Catholic Junior College,School,High School,SG,129 Whitley Rd,1.3252736376504923,103.83482414852415,"{'type': 'Point', 'coordinates': (1.3252736376504923, 103.83482414852415)}"
46,IDEO,Designing Studios,Design Studio,SG,51B Circular Road,1.2857261537335358,103.84940972010517,"{'type': 'Point', 'coordinates': (1.2857261537335358, 103.84940972010517)}"
47,Studio Tinker,Designing Studios,Design Studio,SG,12 Eu Tong Sen St,1.2880618,103.8462276,"{'type': 'Point', 'coordinates': (1.2880618, 103.8462276)}"
48,Black Mongrels,Designing Studios,Design Studio,SG,200 Jalan Sultan #09-10,1.2801440285719214,103.84937167167664,"{'type': 'Point', 'coordinates': (1.2801440285719214, 103.84937167167664)}"
49,Studio.MB,Designing Studios,Design Studio,SG,62A Smith Street,1.28286924028013,103.84320772657368,"{'type': 'Point', 'coordinates': (1.28286924028013, 103.84320772657368)}"
50,TD Fabrics,Designing Studios,Design Studio,SG,1 Magazine Road #B1-01 Central Mall Office Tower (Havelock Road),1.288467513847377,103.84240865707397,"{'type': 'Point', 'coordinates': (1.288467513847377, 103.84240865707397)}"
51,ArtJadens,Designing Studios,Design Studio,SG,195 Pearl's Hill Terrace #02-08,1.2848059600000001,103.84184421999998,"{'type': 'Point', 'coordinates': (1.2848059600000001, 103.84184421999998)}"
52,Lavish Interior Design,Designing Studios,Design Studio,SG,20 Maxwell Rd,1.279779,103.844308,"{'type': 'Point', 'coordinates': (1.279779, 103.844308)}"
53,Garage Interactive,Designing Studios,Design Studio,SG,21 Cavan Road (Lavender Street),1.279090183305683,103.84444445371628,"{'type': 'Point', 'coordinates': (1.279090183305683, 103.84444445371628)}"
54,Carrie Models International Academy,Designing Studios,Design Studio,SG,50 Armenian St.,1.294646893077178,103.85010979393552,"{'type': 'Point', 'coordinates': (1.294646893077178, 103.85010979393552)}"
55,Vanguard Building,Designing Studios,Design Studio,SG,71 - 77 Stamford Road,1.294825225090115,103.84989585167946,"{'type': 'Point', 'coordinates': (1.294825225090115, 103.84989585167946)}"
56,Fjord SG (Accenture),Designing Studios,Design Studio,SG,Raffles City Tower (#31-01),1.294006408451641,103.85290488559309,"{'type': 'Point', 'coordinates': (1.294006408451641, 103.85290488559309)}"
57,Cubevox,Designing Studios,Design Studio,SG,"10 Anson Road,#26-04,International Plaza (10 Anson Road)",1.2753676666379488,103.84607791900633,"{'type': 'Point', 'coordinates': (1.2753676666379488, 103.84607791900633)}"
58,BBC Image,Designing Studios,Design Studio,SG,Bras Basah Complex,1.296345090227229,103.85373897203976,"{'type': 'Point', 'coordinates': (1.296345090227229, 103.85373897203976)}"
59,KIAT.SG,Designing Studios,Design Studio,SG,30A Seah Street,1.296050871734353,103.85475754737854,"{'type': 'Point', 'coordinates': (1.296050871734353, 103.85475754737854)}"
60,XPRINT,Designing Studios,Design Studio,SG,#01-06 Tanjpng Pagar Plaza,1.276179,103.843207,"{'type': 'Point', 'coordinates': (1.276179, 103.843207)}"
61,Mark 12 Architects,Designing Studios,Design Studio,SG,865 Mountbatten Rd,1.275848,103.84597099999996,"{'type': 'Point', 'coordinates': (1.275848, 103.84597099999996)}"
62,PrintStop,Designing Studios,Design Studio,SG,"231, Bain Street, #01-05B, Bras Basah Complex",1.2968714175865144,103.85410845279694,"{'type': 'Point', 'coordinates': (1.2968714175865144, 103.85410845279694)}"
63,Grohe Live Center @ Haw Par Center,Designing Studios,Design Studio,SG,Singapore,1.2973913691213261,103.84385379400152,"{'type': 'Point', 'coordinates': (1.2973913691213261, 103.84385379400152)}"
64,City Box Design,Designing Studios,Design Studio,SG,420 North Bridge Rd,1.2971699,103.85496149999994,"{'type': 'Point', 'coordinates': (1.2971699, 103.85496149999994)}"
