,Name,Classification,Type,Country,Adress,Latitude,Longitude,location
0,IDEO,Designing Studios,Design Studio,SG,51B Circular Road,1.2857261537335358,103.84940972010517,"{'type': 'Point', 'coordinates': (1.2857261537335358, 103.84940972010517)}"
1,Studio Tinker,Designing Studios,Design Studio,SG,12 Eu Tong Sen St,1.2880618,103.8462276,"{'type': 'Point', 'coordinates': (1.2880618, 103.8462276)}"
2,Black Mongrels,Designing Studios,Design Studio,SG,200 Jalan Sultan #09-10,1.2801440285719214,103.84937167167664,"{'type': 'Point', 'coordinates': (1.2801440285719214, 103.84937167167664)}"
3,Studio.MB,Designing Studios,Design Studio,SG,62A Smith Street,1.28286924028013,103.84320772657368,"{'type': 'Point', 'coordinates': (1.28286924028013, 103.84320772657368)}"
4,TD Fabrics,Designing Studios,Design Studio,SG,1 Magazine Road #B1-01 Central Mall Office Tower (Havelock Road),1.288467513847377,103.84240865707397,"{'type': 'Point', 'coordinates': (1.288467513847377, 103.84240865707397)}"
5,ArtJadens,Designing Studios,Design Studio,SG,195 Pearl's Hill Terrace #02-08,1.2848059600000001,103.84184421999998,"{'type': 'Point', 'coordinates': (1.2848059600000001, 103.84184421999998)}"
6,Lavish Interior Design,Designing Studios,Design Studio,SG,20 Maxwell Rd,1.279779,103.844308,"{'type': 'Point', 'coordinates': (1.279779, 103.844308)}"
7,Garage Interactive,Designing Studios,Design Studio,SG,21 Cavan Road (Lavender Street),1.279090183305683,103.84444445371628,"{'type': 'Point', 'coordinates': (1.279090183305683, 103.84444445371628)}"
8,Carrie Models International Academy,Designing Studios,Design Studio,SG,50 Armenian St.,1.294646893077178,103.85010979393552,"{'type': 'Point', 'coordinates': (1.294646893077178, 103.85010979393552)}"
9,Vanguard Building,Designing Studios,Design Studio,SG,71 - 77 Stamford Road,1.294825225090115,103.84989585167946,"{'type': 'Point', 'coordinates': (1.294825225090115, 103.84989585167946)}"
10,Fjord SG (Accenture),Designing Studios,Design Studio,SG,Raffles City Tower (#31-01),1.294006408451641,103.85290488559309,"{'type': 'Point', 'coordinates': (1.294006408451641, 103.85290488559309)}"
11,Cubevox,Designing Studios,Design Studio,SG,"10 Anson Road,#26-04,International Plaza (10 Anson Road)",1.2753676666379488,103.84607791900633,"{'type': 'Point', 'coordinates': (1.2753676666379488, 103.84607791900633)}"
12,BBC Image,Designing Studios,Design Studio,SG,Bras Basah Complex,1.296345090227229,103.85373897203976,"{'type': 'Point', 'coordinates': (1.296345090227229, 103.85373897203976)}"
13,KIAT.SG,Designing Studios,Design Studio,SG,30A Seah Street,1.296050871734353,103.85475754737854,"{'type': 'Point', 'coordinates': (1.296050871734353, 103.85475754737854)}"
14,XPRINT,Designing Studios,Design Studio,SG,#01-06 Tanjpng Pagar Plaza,1.276179,103.843207,"{'type': 'Point', 'coordinates': (1.276179, 103.843207)}"
15,Mark 12 Architects,Designing Studios,Design Studio,SG,865 Mountbatten Rd,1.275848,103.84597099999996,"{'type': 'Point', 'coordinates': (1.275848, 103.84597099999996)}"
16,PrintStop,Designing Studios,Design Studio,SG,"231, Bain Street, #01-05B, Bras Basah Complex",1.2968714175865144,103.85410845279694,"{'type': 'Point', 'coordinates': (1.2968714175865144, 103.85410845279694)}"
17,Grohe Live Center @ Haw Par Center,Designing Studios,Design Studio,SG,Singapore,1.2973913691213261,103.84385379400152,"{'type': 'Point', 'coordinates': (1.2973913691213261, 103.84385379400152)}"
18,City Box Design,Designing Studios,Design Studio,SG,420 North Bridge Rd,1.2971699,103.85496149999994,"{'type': 'Point', 'coordinates': (1.2971699, 103.85496149999994)}"
19,SUPERMAMA,Designing Studios,Design Studio,SG,#01-04 SAM at 8Q (8 Queen Street),1.297512953648797,103.85176867299808,"{'type': 'Point', 'coordinates': (1.297512953648797, 103.85176867299808)}"
20,Charlotte Ehinger-Schwarz 1876,Designing Studios,Design Studio,SG,2 Bayfront Avenue (The Shoppers @ Marina Bay Sands),1.284831299495051,103.86039177308014,"{'type': 'Point', 'coordinates': (1.284831299495051, 103.86039177308014)}"
