,Name,Classification,Type,Country,Adress,Latitude,Longitude,location
0,Esplanade Park,Parks,Park,SG,Connaught Dr. (Opp Padang & City Hall),1.2889675708353954,103.85358044117562,"{'type': 'Point', 'coordinates': (1.2889675708353954, 103.85358044117562)}"
1,Hong Lim Park,Parks,Park,SG,New Bridge Rd. (Upper Pickering St.),1.2866816363786384,103.84645806666519,"{'type': 'Point', 'coordinates': (1.2866816363786384, 103.84645806666519)}"
2,Fort Canning Park,Parks,Park,SG,Cox Terrace (Canning Rise),1.2950747972372088,103.84642124176025,"{'type': 'Point', 'coordinates': (1.2950747972372088, 103.84642124176025)}"
3,The Merlion,Parks,Outdoor Sculpture,SG,Merlion Park (1 Fullerton Rd),1.286906421390687,103.85435611180665,"{'type': 'Point', 'coordinates': (1.286906421390687, 103.85435611180665)}"
4,Telok Ayer Park,Parks,Park,SG,Singapore,1.2801500581533445,103.84585389541125,"{'type': 'Point', 'coordinates': (1.2801500581533445, 103.84585389541125)}"
5,Ann Siang Hill Park,Parks,Park,SG,Singapore,1.2806267056484886,103.8464105129242,"{'type': 'Point', 'coordinates': (1.2806267056484886, 103.8464105129242)}"
6,The Civilian War Memorial,Parks,Park,SG,Nicoll Highway (btw Bras Basah Rd & Stamford Rd),1.292752,103.85477,"{'type': 'Point', 'coordinates': (1.292752, 103.85477)}"
7,Ann Siang Hill,Parks,Other Great Outdoors,SG,Ann Siang Road (Ann Siang Road),1.2815049423709581,103.84549022833018,"{'type': 'Point', 'coordinates': (1.2815049423709581, 103.84549022833018)}"
8,One Fullerton,Parks,Plaza,SG,1 Fullerton Rd.,1.2857966380343786,103.85418059470722,"{'type': 'Point', 'coordinates': (1.2857966380343786, 103.85418059470722)}"
9,Raffles Place Open Space Park,Parks,Park,SG,Raffles Pl.,1.2841341563392057,103.85146379470825,"{'type': 'Point', 'coordinates': (1.2841341563392057, 103.85146379470825)}"
10,Duxton Plain Park,Parks,Park,SG,Yan Kit Rd,1.277827177340126,103.84172201156616,"{'type': 'Point', 'coordinates': (1.277827177340126, 103.84172201156616)}"
11,Speaker's Corner,Parks,Park,SG,Hong Lim Park (20 Upper Pickering St.),1.2865602249654815,103.84641277454006,"{'type': 'Point', 'coordinates': (1.2865602249654815, 103.84641277454006)}"
