,Name,Classification,Type,Country,Adress,Latitude,Longitude,location
0,JamiQ,Technological Startups,Tech Startup,SG,67 South Bridge Road,1.2870264919148537,103.84802226525555,"{'type': 'Point', 'coordinates': (1.2870264919148537, 103.84802226525555)}"
1,SGInnovate,Technological Startups,Tech Startup,SG,32 Carpenter Street,1.2882132447601808,103.84757187775239,"{'type': 'Point', 'coordinates': (1.2882132447601808, 103.84757187775239)}"
2,Amazon Web Services,Technological Startups,Tech Startup,SG,23 Church St. (23 Church Street),1.2839280132980078,103.84899616241455,"{'type': 'Point', 'coordinates': (1.2839280132980078, 103.84899616241455)}"
3,Criteo Singapore,Technological Startups,Tech Startup,SG,138 Market Street #34-01 CapitaGreen,1.2837384304236261,103.84960673796324,"{'type': 'Point', 'coordinates': (1.2837384304236261, 103.84960673796324)}"
4,ThoughtBuzz,Technological Startups,Tech Startup,SG,"Level 9, Malacca Centre (20, Malacca Street)",1.2838429553977835,103.85035890758823,"{'type': 'Point', 'coordinates': (1.2838429553977835, 103.85035890758823)}"
5,MediaMath,Technological Startups,Tech Startup,SG,18 Cross Street #10-01/02,1.2834818897765183,103.84677511196396,"{'type': 'Point', 'coordinates': (1.2834818897765183, 103.84677511196396)}"
6,migme,Technological Startups,Tech Startup,SG,"111 North Bridge Road, Peninsula Plaza, #26-01/02",1.2889758043503323,103.84645661086319,"{'type': 'Point', 'coordinates': (1.2889758043503323, 103.84645661086319)}"
7,iris Digital Singapore,Technological Startups,Tech Startup,SG,"#02-02, Far East Square (19 China St)",1.2836237138095203,103.84791662729316,"{'type': 'Point', 'coordinates': (1.2836237138095203, 103.84791662729316)}"
8,roomorama,Technological Startups,Tech Startup,SG,115 Amoy St,1.2823075936097559,103.84758796699276,"{'type': 'Point', 'coordinates': (1.2823075936097559, 103.84758796699276)}"
9,MyCube,Technological Startups,Tech Startup,SG,3D River Valley Road,1.2896017583521124,103.8453870657327,"{'type': 'Point', 'coordinates': (1.2896017583521124, 103.8453870657327)}"
10,Flok,Technological Startups,Tech Startup,SG,111A Telok Ayer Street (Cross Street),1.2816050046703917,103.84814258257622,"{'type': 'Point', 'coordinates': (1.2816050046703917, 103.84814258257622)}"
11,Sparkline,Technological Startups,Tech Startup,SG,29/31 Tanjong Pagar Road #04-01,1.2821523138303592,103.84597342779803,"{'type': 'Point', 'coordinates': (1.2821523138303592, 103.84597342779803)}"
12,TradeGecko,Technological Startups,Tech Startup,SG,121 Telok Ayer Street,1.2812819497779782,103.84804330055773,"{'type': 'Point', 'coordinates': (1.2812819497779782, 103.84804330055773)}"
13,Pivotal,Technological Startups,Tech Startup,SG,"109 North Bridge Road, Leve 6, WeWork (High Street)",1.291201,103.849976,"{'type': 'Point', 'coordinates': (1.291201, 103.849976)}"
14,Viki Crimson House,Technological Startups,Tech Startup,SG,Singapore,1.2843851367089347,103.85367606298725,"{'type': 'Point', 'coordinates': (1.2843851367089347, 103.85367606298725)}"
